a1,6,4,4,6,5,2,1,2,4,3
a2,4,3,5,2,4,4,6,5,6,3
a3,3,5,4,6,5,6,5,4,3,3
a4,6,5,4,6,6,6,7,6,6,6
b1,6,3,6,3,5,3,6,5,5,5
b2,6,4,4,3,6,3,7,3,6,5
b3,3,3,3,3,5,5,6,3,6,5
b4,6,3,3,7,6,4,7,3,4,2
c1,5,3,6,3,5,3,6,3,6,5
c2,6,2,3,5,3,3,6,3,3,4
c3,3,2,6,2,6,6,6,2,6,5
c4,5,2,5,2,6,7,6,2,4,2
d1,4,3,5,3,4,3,7,6,4,1
d2,6,6,7,2,6,6,7,1,6,1
d3,6,2,6,5,6,5,6,3,6,5
d4,6,5,6,4,6,3,7,2,3,1
e1,1,1,5,6,4,7,7,6,3,5
e2,3,1,4,3,6,5,6,4,6,2
e3,6,1,7,2,6,3,6,1,7,3
e4,4,4,4,2,5,5,5,4,3,2
f1,6,3,6,1,7,3,7,6,6,1
f2,1,5,6,6,7,7,7,5,2,2
f3,7,6,6,5,6,2,6,5,3,5
f4,5,7,7,1,7,2,7,1,7,1
g1,6,4,6,5,4,3,6,2,3,4
g2,5,6,6,2,6,2,6,3,6,3
g3,2,5,6,6,5,4,5,2,3,3
g4,7,1,6,5,5,2,7,5,3,4
h1,3,1,6,5,6,5,7,2,3,5
h2,5,3,5,2,4,2,6,2,6,2
h3,4,5,3,6,6,3,6,4,5,5
h4,2,5,6,5,5,5,6,4,5,4
i1,5,5,6,5,5,6,6,3,6,4
i2,1,2,2,7,5,6,3,5,6,6
i3,6,4,6,5,5,2,6,2,2,3
i4,3,5,5,3,6,6,7,2,6,2
j1,5,2,4,1,7,2,7,3,6,1
j2,4,5,4,5,5,3,6,3,4,3
j3,6,2,4,5,7,5,7,3,7,1
j4,3,4,4,5,6,5,6,3,3,2